graph,method,metric,value,timestamp,database,subset,min_cov_ignored,run_id
$S_\text{Ts-2}$,all,$\mu_1$: NodeCount,5672180.0,2026-04-28 19:42:33.934501326,neo4j,all,False,a5ee306f-5a06-4e55-9849-3ab736a59b11
$S_\text{Ts-2}$,all,$\mu_2$: EdgeCount,10766019.0,2026-04-28 19:42:33.934501326,neo4j,all,False,a5ee306f-5a06-4e55-9849-3ab736a59b11
$S_\text{Ts-2}$,all,$\mu_3$: AvgNodePropCount,2.321418749052253,2026-04-28 19:42:33.934501326,neo4j,all,False,a5ee306f-5a06-4e55-9849-3ab736a59b11
$S_\text{Ts-2}$,all,$\mu_4$: AvgEdgePropCount,0.0,2026-04-28 19:42:33.934501326,neo4j,all,False,a5ee306f-5a06-4e55-9849-3ab736a59b11
$S_\text{Ts-2}$,denormalized,$\mu_1$: NodeCount,194179.0,2026-04-28 19:43:35.072005969,neo4j,node-left,False,a5ee306f-5a06-4e55-9849-3ab736a59b11
$S_\text{Ts-2}$,denormalized,$\mu_2$: EdgeCount,1826601.0,2026-04-28 19:43:35.072005969,neo4j,node-left,False,a5ee306f-5a06-4e55-9849-3ab736a59b11
$S_\text{Ts-2}$,denormalized,$\mu_3$: AvgNodePropCount,6.983252565931562,2026-04-28 19:43:35.072005969,neo4j,node-left,False,a5ee306f-5a06-4e55-9849-3ab736a59b11
$S_\text{Ts-2}$,denormalized,$\mu_4$: AvgEdgePropCount,3.7878387233993314,2026-04-28 19:43:35.072005969,neo4j,node-left,False,a5ee306f-5a06-4e55-9849-3ab736a59b11
$S_\text{Ts-2}$,node-left,$\mu_1$: NodeCount,579979.0,2026-04-28 19:44:26.161254185,neo4j,node-left,False,a5ee306f-5a06-4e55-9849-3ab736a59b11
$S_\text{Ts-2}$,node-left,$\mu_2$: EdgeCount,2214417.0,2026-04-28 19:44:26.161254185,neo4j,node-left,False,a5ee306f-5a06-4e55-9849-3ab736a59b11
$S_\text{Ts-2}$,node-left,$\mu_3$: AvgNodePropCount,2.996261933621747,2026-04-28 19:44:26.161254185,neo4j,node-left,False,a5ee306f-5a06-4e55-9849-3ab736a59b11
$S_\text{Ts-2}$,node-left,$\mu_4$: AvgEdgePropCount,2.299598043186951,2026-04-28 19:44:26.161254185,neo4j,node-left,False,a5ee306f-5a06-4e55-9849-3ab736a59b11
$S_\text{Ts-2}$,denormalized,$\mu_1$: NodeCount,194179.0,2026-04-28 19:45:20.300972803,neo4j,edge-left,False,a5ee306f-5a06-4e55-9849-3ab736a59b11
