,scenario,queryNo,database,query,state,dbhits,mode,time,memory,plot_category,type
20,S_Lon,3,memgraph,"PROFILE MATCH (s:SzoneszoneOriginal) WHERE s.SzoneOriginal IS NOT NULL RETURN DISTINCT s.Szone, s.SzoneOriginal",after,50,retrieval,0.0947809,,retrieval $S_\text{Lon}$; Query 3; Memgraph,direct + optimal
21,S_Lon,3,neo4j,"PROFILE MATCH (s:Station) WHERE s.zoneOriginal IS NOT NULL RETURN DISTINCT s.zone, s.zoneOriginal",before,3241,retrieval,1.2948529,3160.0,retrieval $S_\text{Lon}$; Query 3; Neo4j,original
22,S_Lon,3,neo4j,"PROFILE MATCH (s:Station)-[]-(s:SzoneszoneOriginal) WHERE s.SzoneOriginal IS NOT NULL RETURN DISTINCT s.Szone, s.SzoneOriginal",after,46,retrieval,0.23981219999999998,328.0,retrieval $S_\text{Lon}$; Query 3; Neo4j,direct + naive
23,S_Lon,3,neo4j,"PROFILE MATCH (s:SzoneszoneOriginal) WHERE s.SzoneOriginal IS NOT NULL RETURN DISTINCT s.Szone, s.SzoneOriginal",after,46,retrieval,0.3657276,480.0,retrieval $S_\text{Lon}$; Query 3; Neo4j,direct + optimal
24,S_Lon,4,memgraph,"PROFILE MATCH (s:Station)-[]-(c:CONNECTED_THROUGH)-[]-(:Station), (s)-[]-(z:SzoneszoneOriginal), (c)-[]-(d:Ccolorclinectype) WHERE z.Szone = ""6"" RETURN DISTINCT d.Cline",after,88164,retrieval,13.916241699999997,,retrieval $S_\text{Lon}$; Query 4; Memgraph,indirect
25,S_Lon,4,memgraph,"PROFILE MATCH (s:Station)-[c:CONNECTED_THROUGH]-(:Station) WHERE s.zone = ""6"" RETURN DISTINCT c.line",before,1824,retrieval,0.7143434,,retrieval $S_\text{Lon}$; Query 4; Memgraph,original
26,S_Lon,4,neo4j,"PROFILE MATCH (s:Station)-[]-(c:CONNECTED_THROUGH)-[]-(:Station), (s)-[]-(z:SzoneszoneOriginal), (c)-[]-(d:Ccolorclinectype) WHERE z.Szone = ""6"" RETURN DISTINCT d.Cline",after,6857,retrieval,1.9010659,1800.0,retrieval $S_\text{Lon}$; Query 4; Neo4j,indirect
27,S_Lon,4,neo4j,"PROFILE MATCH (s:Station)-[c:CONNECTED_THROUGH]-(:Station) WHERE s.zone = ""6"" RETURN DISTINCT c.line",before,3459,retrieval,1.7142751,1776.0,retrieval $S_\text{Lon}$; Query 4; Neo4j,original
28,S_Lon,5,memgraph,"PROFILE MATCH (s:Station)-[]->(c:CONNECTED_THROUGH)-[]->(t:Station), (c)-[]-(d:Ccolorclinectype) WHERE s.name = ""Piccadilly Circus"" and d.Cline =""Bakerloo"" RETURN t.name",after,217,retrieval,0.12314449999999999,,retrieval $S_\text{Lon}$; Query 5; Memgraph,indirect
29,S_Lon,5,memgraph,"PROFILE MATCH (s:Station)-[c:CONNECTED_THROUGH]->(t:Station) WHERE s.name = ""Piccadilly Circus"" AND c.line = ""Bakerloo"" RETURN DISTINCT s.name, t.name",before,670,retrieval,0.3059136,,retrieval $S_\text{Lon}$; Query 5; Memgraph,original
30,S_Lon,5,neo4j,"PROFILE MATCH (s:Station)-[]->(c:CONNECTED_THROUGH)-[]->(t:Station), (c)-[]-(d:Ccolorclinectype) WHERE s.name = ""Piccadilly Circus"" and d.Cline =""Bakerloo"" RETURN t.name",after,355,retrieval,0.4364516,336.0,retrieval $S_\text{Lon}$; Query 5; Neo4j,indirect
31,S_Lon,5,neo4j,"PROFILE MATCH (s:Station)-[c:CONNECTED_THROUGH]->(t:Station) WHERE s.name = ""Piccadilly Circus"" AND c.line = ""Bakerloo"" RETURN DISTINCT s.name, t.name",before,1971,retrieval,0.7581882,816.0,retrieval $S_\text{Lon}$; Query 5; Neo4j,original
32,S_Nw,1,memgraph,"PROFILE MATCH (c:OcustomerIDoshipAddressoshipCityoshipCountryoshipPostalCodeoshipRegion) WHERE c.OcustomerID = ""FOLKO"" SET c.OshipCountry = ""Rainbow""",after,7,update,0.02269489999999998,,update $S_\text{Nw}$; Query 1; Memgraph,direct + optimal
